18_septiembre [??:18/9/??:??.??:??] W 1
2013 2013 Z 1
09:00 09:00 Z 1
AM_ET_En_medio_de am_et_en_medio_de NP00000 1
la el DA0FS0 0.972269
tormenta tormenta NCFS000 1
, , Fc 1
una uno DI0FS0 0.951575
mujer mujer NCFS000 0.969613
mexicana mexicano AQ0FS0 0.657596
da dar VMIP3S0 0.996689
a a SPS00 0.996023
luz luz NCFS000 1
a a SPS00 0.996023
una uno DI0FS0 0.951575
ni ni CC 0.999182
� � Fz 1
a a SPS00 0.996023
y y CC 0.999962
la lo PP3FSA00 0.0277039
llama llamar VMIP3S0 0.98374
Ingrid_Por_Rodrigo_Soberanes_Nota ingrid_por_rodrigo_soberanes_nota NP00000 1
de de SPS00 1
el el DA0MS0 1
editor editor NCMS000 0.642386
: : Fd 1
Si si CS 0.99954
quieres querer VMIP2S0 1
enviar enviar VMN0000 1
ayuda ayuda NCFS000 0.953488
a a SPS00 0.996023
los el DA0MP0 0.976481
damnificados damnificado NCMP000 0.308233
, , Fc 1
revisa revisar VMIP3S0 0.994868
esta este DD0FS0 0.986779
informaci informaci NCMS000 0.0996342
� � Fz 1
n n NCFS000 1
. . Fp 1

Una uno DI0FS0 0.951575
mujer mujer NCFS000 0.969613
que que PR0CN000 0.562517
no no RN 0.998134
pudo poder VMIS3S0 1
llegar llegar VMN0000 1
a a SPS00 0.996023
un uno DI0MS0 0.987295
hospital hospital NCMS000 1
por por SPS00 1
las el DA0FP0 0.970954
fuertes fuerte AQ0CP0 0.980769
lluvias lluvia NCFP000 1
y y CC 0.999962
tuvo tener VMIS3S0 1
que que CS 0.437483
dar dar VMN0000 1
a a SPS00 0.996023
luz luz NCFS000 1
en en SPS00 1
un uno DI0MS0 0.987295
albergue albergue NCMS000 0.875
en en SPS00 1
Veracruz veracruz NP00000 1
- - Fg 1
a a SPS00 1
el el DA0MS0 1
sur sur NCMS000 1
de de SPS00 1
el el DA0MS0 1
pa pa NCFS000 0.740688
� � Fz 1
s segundo NCMN000 0.622331
- - Fg 1
llam llam NCMS000 0.700265
� � Fz 1
a a SPS00 0.996023
su su DP3CS0 1
hija hijo NCFS000 1
Ingrid ingrid NP00000 1
, , Fc 1
el el DA0MS0 1
nombre nombre NCMS000 0.991758
de de SPS00 1
el el DA0MS0 1
hurac hurac NCMS000 1
� � Fz 1
n n NCFS000 1
que que PR0CN000 0.562517
caus caus NCMN000 0.916429
� � Fz 1
la el DA0FS0 0.972269
contingencia contingencia NCFS000 1
. . Fp 1

El el DA0MS0 1
municipio municipio NCMS000 1
de de SPS00 0.999984
Misantla misantla NP00000 1
, , Fc 1
que que PR0CN000 0.562517
est est NCMS000 1
� � Fz 1
en en SPS00 1
una uno DI0FS0 0.951575
zona zona NCFS000 1
serrana serrano AQ0FS0 0.457646
de de SPS00 1
el el DA0MS0 1
centro centro NCMS000 0.992958
de de SPS00 0.999984
Veracruz veracruz NP00000 1
, , Fc 1
en en SPS00 1
la el DA0FS0 0.972269
costa costa NCFS000 1
de de SPS00 1
el el DA0MS0 1
Golfo_de_M golfo_de_m NP00000 1
� � Fz 1
xico xico NCMS000 0.499503
, , Fc 1
fue ser VSIS3S0 0.935924
de de SPS00 0.999984
los el DA0MP0 0.976481
primeros 1 AO0MP0 0.994792
en en SPS00 1
ser ser VSN0000 0.940705
afectado afectar VMP00SM 0.980769
por por SPS00 1
las el DA0FP0 0.970954
lluvias lluvia NCFP000 1
causadas causar VMP00PF 1
por por SPS00 1
la el DA0FS0 0.972269
entonces entonces RG 0.982684
tormenta tormenta NCFS000 1
tropical tropical AQ0CS0 1
Ingrid ingrid NP00000 1
, , Fc 1
y y CC 0.999962
una uno DI0FS0 0.951575
de de SPS00 0.999984
sus su DP3CP0 0.999692
entradas entrada NCFP000 0.308318
principales principal AQ0CP0 0.96875
qued qued NCFS000 0.64372
� � Fz 1
cerrada cerrar VMP00SF 0.916667
por por SPS00 1
la el DA0FS0 0.972269
ca ca I 1
� � Fz 1
da dar VMIP3S0 0.996689
de de SPS00 0.999984
un uno DI0MS0 0.987295
puente puente NCMS000 1
. . Fp 1

En en SPS00 1
im im NCMS000 0.700265
� � Fz 1
genes gen NCMP000 1
difundidas difundir VMP00PF 1
por por SPS00 1
el el DA0MS0 1
gobierno gobierno NCMS000 0.97619
de de SPS00 0.999984
Veracruz veracruz NP00000 1
, , Fc 1
Heidi_Mariana_Fuentes heidi_mariana_fuentes NP00000 1
, , Fc 1
una uno DI0FS0 0.951575
habitante habitante NCCS000 1
de de SPS00 0.999984
