13_septiembre [??:13/9/??:??.??:??] W 1
2013 2013 Z 1
11:13 11:13 Z 1
PM_ET pm_et NP00000 1
" " Fe 1
Era ser VSII1S0 0.491126
imprescindible imprescindible AQ0CS0 1
que que CS 0.437483
el el DA0MS0 1
Z z NP00000 1
� � Fz 1
calo calar VMIP1S0 1
estuviera estar VASI1S0 0.5
desocupado desocupar VMP00SM 1
" " Fe 1
: : Fd 1
secretario secretario NCMS000 1
de de SPS00 0.999984
Gobernaci gobernaci NP00000 1
� � Fz 1
n n NCFS000 1
de de SPS00 0.999984
M m NP00000 1
� � Fz 1
xico xico NCMS000 0.499503
( ( Fpa 1
CNN_Espa cnn_espa NP00000 1
� � Fz 1
ol ol NCMS000 0.861706
) ) Fpt 1
- - Fg 1
Tras tras SPS00 1
el el DA0MS0 1
desalojo desalojo NCMS000 0.973494
de de SPS00 0.999984
parte parte NCFS000 0.499183
de de SPS00 0.999984
las el DA0FP0 0.970954
autoridades autoridad NCFP000 1
de de SPS00 1
el el DA0MS0 1
Z z NP00000 1
� � Fz 1
calo calar VMIP1S0 1
de de SPS00 0.999984
Ciudad_de_M ciudad_de_m NP00000 1
� � Fz 1
xico xico NCMS000 0.499503
, , Fc 1
ocupado ocupar VMP00SM 1
por por SPS00 1
profesores profesor NCMP000 1
que que PR0CN000 0.562517
se se P00CN000 0.465639
oponen oponer VMIP3P0 1
a a SPS00 0.996023
la el DA0FS0 0.972269
reforma reforma NCFS000 0.953488
de de SPS00 0.999984
la el DA0FS0 0.972269
educaci educaci NCMS000 0.0996342
� � Fz 1
n n NCFS000 1
, , Fc 1
Miguel miguel NP00000 1
� � Fz 1
ngel ngel NCMS000 1
Osorio_Chong osorio_chong NP00000 1
, , Fc 1
secretario secretario NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
Gobernaci gobernaci NP00000 1
� � Fz 1
n n NCFS000 1
de de SPS00 0.999984
M m NP00000 1
� � Fz 1
xico xico NCMS000 0.499503
, , Fc 1
dijo decir VMIS3S0 1
que que CS 0.437483
era ser VSII1S0 0.491262
" " Fe 1
imprescindible imprescindible AQ0CS0 1
" " Fe 1
que que CS 0.437483
el el DA0MS0 1
lugar lugar NCMS000 1
estuviera estar VASI1S0 0.5
desocupado desocupar VMP00SM 1
para para SPS00 0.999103
las el DA0FP0 0.970954
celebraciones celebración NCFP000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
fiesta fiesta NCFS000 1
nacional nacional AQ0CS0 1
de de SPS00 1
el el DA0MS0 1
pa pa NCFS000 0.740688
� � Fz 1
s segundo NCMN000 0.622331
. . Fp 1

Osorio_Chong osorio_chong NP00000 1
, , Fc 1
dijo decir VMIS3S0 1
durante durante SPS00 1
una uno DI0FS0 0.951575
conferencia conferencia NCFS000 0.846154
de de SPS00 0.999984
prensa prensa NCFS000 0.975904
que que PR0CN000 0.562517
el el DA0MS0 1
desalojo desalojo NCMS000 0.973494
fue ser VSIS3S0 0.935924
profesional profesional AQ0CS0 0.596154
y y CC 0.999962
" " Fe 1
apegado apegado NCMS000 0.308242
a a SPS00 0.996023
los el DA0MP0 0.976481
protocolos protocolo NCMP000 1
" " Fe 1
. . Fp 1

El el DA0MS0 1
funcionario funcionario NCMS000 1
dijo decir VMIS3S0 1
que que CS 0.437483
hubo haber VMIS3S0 0.98913
grupos grupo NCMP000 1
infiltrados infiltrar VMP00PM 1
durante durante SPS00 1
los el DA0MP0 0.976481
enfrentamientos enfrentamiento NCMP000 1
con con SPS00 1
polic polic NCFS000 1
� � Fz 1
as as NCMS000 1
. . Fp 1

El el DA0MS0 1
secretario secretario NCMS000 1
de de SPS00 0.999984
Gobernaci gobernaci NP00000 1
� � Fz 1
n n NCFS000 1
dijo decir VMIS3S0 1
que que CS 0.437483
la el DA0FS0 0.972269
reforma reforma NCFS000 0.953488
educativa educativo AQ0FS0 1
" " Fe 1
seguir seguir VMN0000 1
� � Fz 1
adelante adelante RG 0.952941
" " Fe 1
y y CC 0.999962
que que CS 0.437483
" " Fe 1
no no RN 0.998134
tiene tener VMIP3S0 1
marcha marcha NCFS000 0.98374
atr atr VMN0000 0.633987
� � Fz 1
s segundo NCMN000 0.622331
" " Fe 1
. . Fp 1

" " Fe 1
El el DA0MS0 1
proceso proceso NCMS000 0.994505
de de SPS00 0.999984
reformas reforma NCFP000 0.956832
beneficiar beneficiar VMN0000 1
� � Fz 1
a a SPS00 0.996023
los el DA0MP0 0.976481
ciudadanos ciudadano NCMP000 0.96875
y y CC 0.999962
fortalecer fortalecer VMN0000 1
� � Fz 1
las el DA0FP0 0.970954
instituciones institución NCFP000 1
" " Fe 1
, , Fc 1
dijo decir VMIS3S0 1
. . Fp 1

Osorio osorio NP00000 1
dijo decir VMIS3S0 1
que que CS 0.437483
el el DA0MS0 1
mandato mandato NCMS000 1
de de SPS00 1
el el DA0MS0 1
presidente presidente NCMS000 1
Enrique_Pe enrique_pe NP00000 1
� � Fz 1
a a SPS00 0.996023
Nieto nieto NP00000 1
es ser VSIP3S0 1
superar superar VMN0000 1
la el DA0FS0 0.972269
intransigencia intransigencia NCFS000 1
con con SPS00 1
el el DA0MS0 1
di dar VMIS1S0 0.954545
� � Fz 1
logo logo NCMS000 1
. . Fp 1

